"","GSM4861833","GSM4861834","GSM4861835","GSM4861836","GSM4861837","GSM4861838","GSM4861839","GSM4861840","GSM4861841","GSM4861842","GSM4861843","GSM4861844"
"COL4A2",2.837433569,2.861804156,2.823967674,2.828482066,2.830325362,2.850786839,2.927706122,3.434057341,2.878135034,2.769722588,2.774339428,2.780357922
"NAXD",5.244320877,5.432566587,5.660988197,5.360994568,5.409939991,5.621165411,5.193201622,4.807037718,4.755350959,4.637127811,4.953041091,4.980384839
"ING1",10.02799203,9.88169812,9.733191019,10.02060261,9.919744381,9.72292385,10.31008547,10.2575119,10.09651644,10.31383685,10.41680576,10.05712075
"ARHGEF7",6.774968504,6.784000274,7.00794936,6.979050204,6.917268269,6.84569971,6.666539869,6.912879994,6.952871099,5.857578147,6.410785453,5.928040102
"TEX29",4.496669969,4.249417034,4.17139494,4.445023564,4.339011257,4.228036269,4.75705803,4.306945241,4.632801606,3.581248087,4.236035636,3.666308879
"LINC02337",7.336098211,7.4830081,7.090259135,7.253652669,7.169914193,7.399490101,6.859111779,7.483062792,7.651373707,7.058813499,6.660822246,7.593104903
"AL359649.1",7.336098211,7.4830081,7.090259135,7.253652669,7.169914193,7.399490101,6.859111779,7.483062792,7.651373707,7.058813499,6.660822246,7.593104903
"SOX1",2.612966929,2.87621852,2.620896354,2.700231374,2.702382279,2.726258375,2.807541189,2.712202709,2.749697662,2.623193312,2.628580611,2.635603473
"SOX1-OT",2.612966929,2.87621852,2.620896354,2.700231374,2.702382279,2.726258375,2.807541189,2.712202709,2.749697662,2.623193312,2.628580611,2.635603473
"SPACA7",2.850404335,2.958109672,3.023355171,3.385237803,2.720427425,2.740999283,2.788097636,2.705953146,2.738259134,2.629261852,2.633903597,2.639954558
"ATP11AUN",5.856995878,6.775783858,6.218068608,6.408321184,6.461760336,6.103041536,6.311282148,6.50902075,6.555582299,7.080022555,7.306467795,7.329957066
"ATP11A",3.930968099,4.423113723,4.634909715,4.083371937,4.235448522,4.580616904,3.32744788,3.927938816,4.387605529,5.10573569,4.847477485,4.832957726
"ADAMTSL4-AS1",5.691019894,5.703796312,5.852789903,5.810142015,5.864772294,5.581408039,6.196614384,5.947055786,5.863408209,6.41353038,6.846712733,6.341858904
"MCF2L",6.437075241,6.826855049,6.390105364,6.557588269,6.526792101,6.637161839,6.348429929,6.777820467,7.138672074,6.455551148,6.714441953,6.606356246
